idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,18.8,18.8,1,5,0,0,20
2,2.0,0,0,21.71,21.71,1,6,0,0,20
3,3.0,0,0,11.29,11.29,2,2,0,2,20
4,4.0,0,0,22.81,22.81,1,6,0,1,20
5,5.0,0,0,7.21,7.21,1,2,0,0,20
6,6.0,0,0,19.64,19.64,2,5,0,2,20
7,7.0,0,0,5.42,5.42,1,2,0,1,20
8,8.0,0,0,8.08,8.08,1,3,0,0,20
9,9.0,0,0,13.04,13.04,1,4,0,0,20
10,10.0,0,0,19.39,19.39,1,5,0,1,20
11,11.0,0,0,17.85,17.85,2,2,0,4,20
12,12.0,0,0,22.26,22.26,2,3,0,4,20
13,13.0,0,0,18.97,18.97,2,3,0,3,20
14,14.0,0,0,5.54,5.54,1,1,0,0,20
15,15.0,0,0,11.12,11.12,1,3,0,1,20
16,16.0,0,0,8.83,8.83,1,1,0,1,20
17,17.0,0,0,7.12,7.12,1,1,0,2,20
18,18.0,0,0,6.74,6.74,1,1,0,3,20
19,19.0,0,0,15.06,15.06,1,3,0,2,20
20,20.0,0,0,14.72,14.72,1,2,0,3,20
21,21.0,0,0,21.83,21.83,1,5,0,3,20
22,22.0,0,0,23.62,23.62,1,5,0,4,20
23,23.0,0,0,18.56,18.56,2,4,0,2,20
24,24.0,0,0,11.73,11.73,1,1,0,4,20
25,25.0,0,0,16.9,16.9,1,4,0,1,20
