idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,9.45,9.45,1,3,0,0,20
2,2.0,0,0,23.4,23.4,1,3,0,1,20
3,3.0,0,0,15.8,15.8,1,5,0,0,20
4,4.0,0,0,6.94,6.94,1,2,0,0,20
5,5.0,0,0,5.42,5.42,1,2,0,1,20
6,6.0,0,0,9.65,9.65,1,2,0,2,20
7,7.0,0,0,18.1,18.1,1,6,0,0,20
8,8.0,0,0,15.05,15.05,1,3,0,2,20
9,9.0,0,0,17.22,17.22,1,3,0,3,20
10,10.0,0,0,5.53,5.53,1,1,0,0,20
11,11.0,0,0,11.5,11.5,1,4,0,0,20
12,12.0,0,0,22.5,22.5,1,6,0,1,20
13,13.0,0,0,9.5,9.5,1,2,0,3,20
14,14.0,0,0,12.15,12.15,1,4,0,1,20
15,15.0,0,0,17.16,17.16,1,4,0,2,20
16,16.0,0,0,14.51,14.51,1,3,0,4,20
17,17.0,0,0,23.12,23.12,1,4,0,3,20
18,18.0,0,0,6.85,6.85,1,1,0,1,20
19,19.0,0,0,18.55,18.55,1,5,0,1,20
20,20.0,0,0,16.33,16.33,1,2,0,4,20
21,21.0,0,0,19.51,19.51,1,5,0,2,20
22,22.0,0,0,11.5,11.5,1,1,0,2,20
23,23.0,0,0,10.53,10.53,1,1,0,3,20
24,24.0,0,0,5.92,5.92,1,1,0,4,20
25,25.0,0,0,20.13,20.13,1,4,0,4,20
