idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,13.04,13.04,2,4,0,1,20
2,2.0,0,0,11.62,11.62,1,4,0,0,20
3,3.0,0,0,12.41,12.41,1,4,0,2,20
4,4.0,0,0,21.4,21.4,1,6,0,0,20
5,5.0,0,0,10.48,10.48,1,3,0,0,20
6,6.0,0,0,7.96,7.96,1,2,0,0,20
7,7.0,0,0,19.83,19.83,1,6,0,1,20
8,8.0,0,0,11.5,11.5,2,3,0,2,20
9,9.0,0,0,11.15,11.15,1,3,0,1,20
10,10.0,0,0,6.45,6.45,1,1,0,0,20
11,11.0,0,0,14.95,14.95,1,5,0,0,20
12,12.0,0,0,11.42,11.42,1,3,0,3,20
13,13.0,0,0,14.16,14.16,1,5,0,1,20
14,14.0,0,0,15.25,15.25,1,5,0,2,20
15,15.0,0,0,10.5,10.5,2,2,0,2,20
16,16.0,0,0,21.43,21.43,2,4,0,4,20
17,17.0,0,0,8.36,8.36,1,1,0,1,20
18,18.0,0,0,11.81,11.81,1,4,0,3,20
19,19.0,0,0,20.43,20.43,1,5,0,3,20
20,20.0,0,0,16.92,16.92,2,3,0,4,20
21,21.0,0,0,20.18,20.18,1,6,0,2,20
22,22.0,0,0,9.99,9.99,1,2,0,1,20
23,23.0,0,0,8.58,8.58,1,1,0,2,20
24,24.0,0,0,20.36,20.36,1,5,0,4,20
25,25.0,0,0,18.47,18.47,1,6,0,3,20
