idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,21.61,21.61,1,6,0,0,20
2,2.0,0,0,8.45,8.45,2,2,0,1,20
3,3.0,0,0,6.92,6.92,1,2,0,0,20
4,4.0,0,0,20.58,20.58,1,6,0,1,20
5,5.0,0,0,9.48,9.48,1,3,0,0,20
6,6.0,0,0,20.05,20.05,2,5,0,1,20
7,7.0,0,0,17.69,17.69,1,5,0,0,20
8,8.0,0,0,16.17,16.17,2,2,0,3,20
9,9.0,0,0,19.9,19.9,2,4,0,2,20
10,10.0,0,0,21.36,21.36,2,5,0,2,20
11,11.0,0,0,17.13,17.13,2,4,0,1,20
12,12.0,0,0,8.96,8.96,1,2,0,2,20
13,13.0,0,0,13.66,13.66,1,4,0,0,20
14,14.0,0,0,10.76,10.76,1,3,0,1,20
15,15.0,0,0,10.93,10.93,1,3,0,2,20
16,16.0,0,0,13.42,13.42,1,2,0,4,20
17,17.0,0,0,23.71,23.71,2,4,0,4,20
18,18.0,0,0,5.35,5.35,1,1,0,0,20
19,19.0,0,0,19.25,19.25,1,4,0,3,20
20,20.0,0,0,16.9,16.9,1,5,0,3,20
21,21.0,0,0,17.88,17.88,1,3,0,3,20
22,22.0,0,0,23.33,23.33,1,3,0,4,20
23,23.0,0,0,14.54,14.54,1,5,0,4,20
24,24.0,0,0,17.72,17.72,1,6,0,2,20
25,25.0,0,0,5.13,5.13,1,1,0,1,20
