idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,7.05,7.05,1,2,0,0,20
2,2.0,0,0,12.16,12.16,1,3,0,0,20
3,3.0,0,0,9.03,9.03,1,2,0,1,20
4,4.0,0,0,13.27,13.27,1,4,0,0,20
5,5.0,0,0,18.11,18.11,1,5,0,0,20
6,6.0,0,0,13.58,13.58,1,3,0,1,20
7,7.0,0,0,19.75,19.75,1,6,0,0,20
8,8.0,0,0,18.67,18.67,1,5,0,1,20
9,9.0,0,0,22.43,22.43,1,6,0,1,20
10,10.0,0,0,8.6,8.6,1,1,0,0,20
11,11.0,0,0,21.27,21.27,1,5,0,2,20
12,12.0,0,0,8.15,8.15,1,1,0,1,20
13,13.0,0,0,11.07,11.07,1,2,0,2,20
14,14.0,0,0,15.6,15.6,1,3,0,2,20
15,15.0,0,0,22.55,22.55,2,3,0,4,20
16,16.0,0,0,7.08,7.08,1,1,0,2,20
17,17.0,0,0,23.1,23.1,2,4,0,4,20
18,18.0,0,0,18.2,18.2,1,4,0,1,20
19,19.0,0,0,13.55,13.55,1,2,0,3,20
20,20.0,0,0,12.6,12.6,1,1,0,3,20
21,21.0,0,0,18.73,18.73,1,4,0,2,20
22,22.0,0,0,18.0,18.0,1,3,0,3,20
23,23.0,0,0,14.98,14.98,1,1,0,4,20
24,24.0,0,0,22.14,22.14,1,4,0,3,20
25,25.0,0,0,17.58,17.58,1,2,0,4,20
