idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,23.76,23.76,1,1,0,0,20
2,2.0,0,0,17.74,17.74,1,6,0,0,20
3,3.0,0,0,5.29,5.29,1,2,0,0,20
4,4.0,0,0,5.66,5.66,1,1,0,1,20
5,5.0,0,0,9.44,9.44,1,4,0,0,20
6,6.0,0,0,13.93,13.93,1,5,0,0,20
7,7.0,0,0,16.39,16.39,1,5,0,1,20
8,8.0,0,0,5.65,5.65,1,1,0,2,20
9,9.0,0,0,9.93,9.93,2,1,0,4,20
10,10.0,0,0,10.68,10.68,2,3,0,1,20
11,11.0,0,0,13.52,13.52,2,4,0,1,20
12,12.0,0,0,9.13,9.13,1,3,0,0,20
13,13.0,0,0,7.19,7.19,1,1,0,3,20
14,14.0,0,0,8.3,8.3,1,2,0,1,20
15,15.0,0,0,16.73,16.73,1,4,0,2,20
16,16.0,0,0,22.38,22.38,1,6,0,1,20
17,17.0,0,0,12.01,12.01,1,3,0,2,20
18,18.0,0,0,8.32,8.32,1,2,0,2,20
19,19.0,0,0,22.22,22.22,1,5,0,2,20
20,20.0,0,0,15.48,15.48,1,3,0,3,20
21,21.0,0,0,8.4,8.4,1,2,0,3,20
22,22.0,0,0,11.92,11.92,1,2,0,4,20
23,23.0,0,0,19.86,19.86,1,4,0,3,20
24,24.0,0,0,14.68,14.68,1,3,0,4,20
25,25.0,0,0,17.31,17.31,1,4,0,4,20
