idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,22.72,22.72,1,6,0,0,20
2,2.0,0,0,18.55,18.55,2,4,0,2,20
3,3.0,0,0,5.62,5.62,1,3,0,0,20
4,4.0,0,0,11.68,11.68,1,4,0,0,20
5,5.0,0,0,5.94,5.94,1,2,0,0,20
6,6.0,0,0,14.29,14.29,1,4,0,1,20
7,7.0,0,0,19.92,19.92,1,6,0,1,20
8,8.0,0,0,11.99,11.99,2,1,0,4,20
9,9.0,0,0,6.07,6.07,1,1,0,0,20
10,10.0,0,0,5.14,5.14,1,1,0,1,20
11,11.0,0,0,12.32,12.32,2,2,0,3,20
12,12.0,0,0,23.67,23.67,2,4,0,4,20
13,13.0,0,0,9.92,9.92,1,3,0,1,20
14,14.0,0,0,22.95,22.95,1,4,0,3,20
15,15.0,0,0,5.85,5.85,1,1,0,2,20
16,16.0,0,0,18.05,18.05,1,2,0,4,20
17,17.0,0,0,8.05,8.05,1,1,0,3,20
18,18.0,0,0,21.72,21.72,1,6,0,2,20
19,19.0,0,0,10.74,10.74,1,3,0,2,20
20,20.0,0,0,22.64,22.64,2,3,0,4,20
21,21.0,0,0,14.0,14.0,1,3,0,3,20
22,22.0,0,0,17.14,17.14,1,6,0,3,20
23,23.0,0,0,16.68,16.68,1,5,0,0,20
24,24.0,0,0,22.54,22.54,1,5,0,1,20
25,25.0,0,0,6.71,6.71,1,2,0,1,20
