idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,10.8,10.8,1,4,0,0,20
2,2.0,0,0,10.54,10.54,1,4,0,1,20
3,3.0,0,0,22.89,22.89,2,4,0,3,20
4,4.0,0,0,21.76,21.76,2,5,0,2,20
5,5.0,0,0,13.42,13.42,1,5,0,0,20
6,6.0,0,0,7.58,7.58,1,2,0,0,20
7,7.0,0,0,22.54,22.54,1,5,0,1,20
8,8.0,0,0,10.67,10.67,2,3,0,1,20
9,9.0,0,0,16.85,16.85,1,4,0,2,20
10,10.0,0,0,18.54,18.54,1,6,0,0,20
11,11.0,0,0,14.13,14.13,2,2,0,3,20
12,12.0,0,0,6.37,6.37,1,1,0,0,20
13,13.0,0,0,22.63,22.63,1,6,0,1,20
14,14.0,0,0,9.33,9.33,1,3,0,0,20
15,15.0,0,0,14.27,14.27,1,2,0,4,20
16,16.0,0,0,7.91,7.91,1,2,0,1,20
17,17.0,0,0,9.81,9.81,1,2,0,2,20
18,18.0,0,0,14.26,14.26,2,3,0,3,20
19,19.0,0,0,14.0,14.0,1,3,0,2,20
20,20.0,0,0,7.42,7.42,1,1,0,1,20
21,21.0,0,0,23.11,23.11,1,4,0,4,20
22,22.0,0,0,6.18,6.18,1,1,0,2,20
23,23.0,0,0,20.03,20.03,1,5,0,3,20
24,24.0,0,0,12.72,12.72,1,3,0,4,20
25,25.0,0,0,9.47,9.47,1,1,0,3,20
