idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,10.47,10.47,1,4,0,0,20
2,2.0,0,0,9.27,9.27,1,3,0,0,20
3,3.0,0,0,8.84,8.84,2,2,0,1,20
4,4.0,0,0,5.31,5.31,1,2,0,0,20
5,5.0,0,0,22.39,22.39,1,6,0,0,20
6,6.0,0,0,21.28,21.28,1,6,0,1,20
7,7.0,0,0,15.26,15.26,1,5,0,0,20
8,8.0,0,0,9.55,9.55,1,3,0,1,20
9,9.0,0,0,13.33,13.33,1,4,0,1,20
10,10.0,0,0,11.42,11.42,1,3,0,2,20
11,11.0,0,0,22.21,22.21,1,5,0,1,20
12,12.0,0,0,6.68,6.68,1,1,0,0,20
13,13.0,0,0,7.02,7.02,1,1,0,1,20
14,14.0,0,0,12.23,12.23,1,3,0,3,20
15,15.0,0,0,11.4,11.4,2,1,0,4,20
16,16.0,0,0,21.83,21.83,1,5,0,2,20
17,17.0,0,0,17.15,17.15,1,4,0,2,20
18,18.0,0,0,23.78,23.78,2,4,0,4,20
19,19.0,0,0,9.06,9.06,1,1,0,2,20
20,20.0,0,0,20.27,20.27,1,4,0,3,20
21,21.0,0,0,7.58,7.58,1,1,0,3,20
22,22.0,0,0,22.07,22.07,1,3,0,4,20
23,23.0,0,0,9.99,9.99,1,2,0,2,20
24,24.0,0,0,15.86,15.86,1,5,0,3,20
25,25.0,0,0,19.56,19.56,1,6,0,2,20
