idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,14.03,14.03,1,1,0,0,20
2,2.0,0,0,17.9,17.9,1,1,0,1,20
3,3.0,0,0,10.66,10.66,1,4,0,0,20
4,4.0,0,0,16.28,16.28,1,6,0,0,20
5,5.0,0,0,8.43,8.43,1,3,0,0,20
6,6.0,0,0,9.43,9.43,1,3,0,1,20
7,7.0,0,0,7.15,7.15,1,2,0,0,20
8,8.0,0,0,5.21,5.21,1,2,0,1,20
9,9.0,0,0,11.6,11.6,1,5,0,0,20
10,10.0,0,0,12.45,12.45,1,4,0,1,20
11,11.0,0,0,11.85,11.85,1,3,0,2,20
12,12.0,0,0,16.04,16.04,1,6,0,1,20
13,13.0,0,0,7.52,7.52,1,2,0,2,20
14,14.0,0,0,10.13,10.13,1,2,0,3,20
15,15.0,0,0,7.12,7.12,1,1,0,2,20
16,16.0,0,0,14.69,14.69,1,5,0,1,20
17,17.0,0,0,16.37,16.37,1,6,0,2,20
18,18.0,0,0,23.85,23.85,1,6,0,3,20
19,19.0,0,0,13.92,13.92,1,4,0,2,20
20,20.0,0,0,5.41,5.41,1,1,0,3,20
21,21.0,0,0,5.27,5.27,1,1,0,4,20
22,22.0,0,0,14.88,14.88,1,3,0,3,20
23,23.0,0,0,20.88,20.88,1,6,0,4,20
24,24.0,0,0,8.66,8.66,1,2,0,4,20
25,25.0,0,0,9.84,9.84,1,3,0,4,20
