idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,12.42,12.42,1,4,0,0,20
2,2.0,0,0,13.16,13.16,1,5,0,0,20
3,3.0,0,0,13.46,13.46,1,4,0,1,20
4,4.0,0,0,15.52,15.52,1,4,0,2,20
5,5.0,0,0,20.73,20.73,1,6,0,0,20
6,6.0,0,0,8.82,8.82,1,2,0,0,20
7,7.0,0,0,23.41,23.41,2,4,0,4,20
8,8.0,0,0,18.74,18.74,1,5,0,1,20
9,9.0,0,0,18.76,18.76,2,3,0,3,20
10,10.0,0,0,11.78,11.78,2,2,0,2,20
11,11.0,0,0,22.87,22.87,1,4,0,3,20
12,12.0,0,0,7.15,7.15,1,1,0,0,20
13,13.0,0,0,12.69,12.69,2,3,0,1,20
14,14.0,0,0,23.1,23.1,1,6,0,1,20
15,15.0,0,0,21.66,21.66,2,3,0,4,20
16,16.0,0,0,10.25,10.25,1,3,0,0,20
17,17.0,0,0,21.66,21.66,2,5,0,2,20
18,18.0,0,0,14.16,14.16,1,3,0,2,20
19,19.0,0,0,10.99,10.99,1,2,0,1,20
20,20.0,0,0,9.04,9.04,1,1,0,1,20
21,21.0,0,0,12.52,12.52,1,2,0,3,20
22,22.0,0,0,10.56,10.56,1,1,0,2,20
23,23.0,0,0,13.48,13.48,1,2,0,4,20
24,24.0,0,0,9.2,9.2,1,1,0,3,20
25,25.0,0,0,18.2,18.2,1,5,0,3,20
